staSeq,locationName,locationDescription,locationType,ylat,xlong,sourceMapScale,horizCollectMethod,horizRefDatum,stateCd,munName,subBasin,adbSegID,hydroID,stationsCommentTxt,createDate,createUser,lastUpdateDate,lastUpdateUser,,
20566,New City Brook,DS New City Road,River/Stream,41.012496,-72.227206,0,Interpolation-Satellite,WGS84,CT,STAFFORD,3103,NULL,NULL,IFD sample site; DS New City Road near Stafford Road and Gun Club.  Very upper end of stream.,7/21/2021 10:55,EltzB,11/17/2021 18:20,BeckerM,,
14642,Greenwich Cove/LIS,Northeast side Greenwich Island,Estuary,41.0128,-73.5766,24000,Interpolation-Map,NAD83,CT,GREENWICH,7000,UNKNOWN,NULL,Initial Site Number=1 or alias of =//site comments:site was sampled by guy hoffman on june 30  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
14646,Stamford Harbor/LIS,south of entrance to harbor/breakwater,Estuary,41.0143,-73.5366,24000,Interpolation-Map,NAD83,CT,STAMFORD,7000,UNKNOWN,NULL,Initial Site Number=5 or alias of =//site comments:site was sampled by guy hoffman on june 30  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
17258,F3,Crane Neck  NY,Estuary,41.017833,-73.1445,24000,GPS-Unspecified,NAD83,NY,BROOKHAVEN  NY,0,NULL,NULL,Initial Site Name = F3; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17255,E1,Nissequogue River Entrance,Estuary,41.019333,-73.291333,24000,GPS-Unspecified,NAD83,CT,WESTPORT,0,CT-W4_002,NULL,Initial Site Name = E1; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD  HPLC,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
16145,Horseneck Brook,at Bridge Street  Idlewild  and Prospect Streets,River/Stream,41.022,-73.6328,24000,Interpolation-Map,NAD83,CT,GREENWICH,7409,CT7409-00_01,NULL,Initial Site Number= or alias of =//site comments:,5/16/2007 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
14651,Stamford Harbor,at Bouy #9 in Stamford Harbor,Estuary,41.0226,-73.5366,24000,Interpolation-Map,NAD83,CT,STAMFORD,7000,UNKNOWN,NULL,Initial Site Number=6 or alias of =//site comments:site was sampled by guy hoffman on july 1  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
14834,Long Island Sound,Western,Estuary,41.0245,-73.3886,24000,Interpolation-Map,NAD83,CT,Unknown,0,Undetermined,NULL,Initial Site Number= or alias of =//site comments:Winter Flounder  Scup  Blackfish and Summer Flounder collected by marine fisheries for pcb tissue analysis.,3/27/2002 0:00,BeaucheneM,3/12/2010 0:00,BeaucheneM,,
17261,H6,Herod Point,Estuary,41.026,-72.9135,24000,GPS-Unspecified,NAD83,NY,BROOKHAVEN  NY,0,NULL,NULL,Initial Site Name = H6; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  BOD,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
19026,Horseneck Brook,Upstream Rte 1  behind #177 Putnam Ave,River/Stream,41.027382,-73.633868,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7409,CT7409-00_01,102000157,2016 probabilistic site CTS06621-0989; Access from behind Wright Investment Services (glass building); walk upstream to site at driveway crossing/stone bridge,5/17/2016 12:16,LallyMe,11/17/2021 18:20,BeckerM,,
16002,Pemberwick Brook,at Comley Drive and Pemberwick Road,River/Stream,41.0274,-73.661,24000,Interpolation-Map,NAD83,CT,GREENWICH,7411,CT7411-09_01,102000177,Initial Site Number=CTS06621-0045 or alias of =18048//site comments:site sampled from mouth to large flat run section.  Access via parking lot for small store at Comley and Pemberwick,7/27/2006 0:00,BeaucheneM,10/5/2021 14:34,BeckerM,,
14150,Byram River,downstream Comley Avenue,River/Stream,41.0276,-73.6621,24000,GPS-Unspecified,NAD83,CT,GREENWICH,7411,CT7411-00_01,102000175,Initial Site Number=59  CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank,3/2/1999 0:00,Unknown,10/5/2021 14:34,BeckerM,,
18939,Horseneck Brook,US of Valley Rd,River/Stream,41.030432,-73.640064,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7409,NULL,NULL,water temp logger,10/21/2015 11:28,HagstromN,10/21/2015 11:27,HagstromN,,
16753,Horseneck Brook,Below Driveway for Eaglehill School,River/Stream,41.0319,-73.6417,24000,Unknown,NAD83,CT,GREENWICH,7409,CT7409-00_01,102000183,Initial Site Number=2052 or alias of =2052//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/27/2021 17:18,BeckerM,,
16910,No Name (Binney Park),75 M N of RR tracks,River/Stream,41.0325,-73.5719,24000,Unknown,NAD83,CT,GREENWICH,7000,Needs,NULL,Initial Site Number=2062 or alias of =2062//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
14650,Long Island Sound,Southwest Long Neck Point,Estuary,41.0355,-73.4864,24000,Interpolation-Map,NAD83,CT,STAMFORD,7000,UNKNOWN,NULL,Initial Site Number=9 or alias of =//site comments:site was sampled by guy hoffman on july 1  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
15829,Stamford Hurricane Barrier,STAMFORD HURRICANE BARRIER AT STAMFORD,Estuary,41.0369,-73.5347,24000,Interpolation-Map,NAD83,CT,STAMFORD,7000,UNKNOWN,NULL,Initial Site Number=1209788 or alias of =//site comments:DISCHARGE,12/12/2005 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
14649,Cove Harbor,Outside Cove Harbor entrance,Estuary,41.0406,-73.4955,24000,Interpolation-Map,NAD83,CT,STAMFORD,7000,UNKNOWN,NULL,Initial Site Number=8 or alias of =//site comments:site was sampled by guy hoffman on july 1  1996 for a sewage overflow related problem.,4/18/2000 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
17224,8,Huntington Bay,Estuary,41.040833,-73.418,24000,GPS-Unspecified,NAD83,NY,HUNTINGTON  NY,0,CT-W3_007,NULL,Initial Site Name = 08; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
15233,Greenwich Creek  tributary to,Near High School,River/Stream,41.0414,-73.6147,24000,Interpolation-Map,NAD83,CT,GREENWICH,7408,NOSEG,NULL,Initial Site Number=571.01 or alias of =//site comments:Greenwich HS,9/22/2003 0:00,BeaucheneM,3/12/2010 0:00,BeaucheneM,,
18938,Byram River,under Bailwick Rd,River/Stream,41.046332,-73.662624,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7411,NULL,NULL,water temp logger,10/21/2015 11:23,HagstromN,10/21/2015 11:23,HagstromN,,
15389,Byram River,upstream of Bailiwick Road behind Covenant of Sacred Heart School,River/Stream,41.0464,-73.6625,24000,Interpolation-Map,NAD83,CT,GREENWICH,7411,CT7411-00_02,102000211,Initial Site Number=572.01 or alias of =//site comments:exact location is unknown,1/2/2004 0:00,Unknown,10/5/2021 14:34,BeckerM,,
16707,Greenwich Creek,US Deadend road for skating rink,River/Stream,41.0467,-73.6119,24000,Unknown,NAD83,CT,GREENWICH,7408,Needs,102000186,Initial Site Number=2051 or alias of =2051//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
20138,LIS Trawl 03-28,Eastern LIS - NY,Estuary,41.0486,-72.64445,0,Interpolation-Satellite,WGS84,CT,Unknown,0,NULL,NULL,2018 summer flounder/fluke sample (10/9/18) for pcb fish tissue analysis coordinates = trawl end point; Site 03-28,12/12/2018 14:38,LallyMe,11/17/2021 18:20,BeckerM,,
19342,Mianus Pond,center of lake,Riverine Impoundment,41.05,-73.586,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7407,NULL,NULL,; added by mbeauchene  IFD lake survey site,11/28/2016 11:20,BeaucheneM,11/17/2021 18:20,BeckerM,,
18494,Rippowam River (Mill River),US Main Street  within Mill River Park,River/Stream,41.053907,-73.545591,0,Interpolation-Map,NAD83,CT,STAMFORD,7405,NULL,102000198,2013 RBV Site,9/30/2013 12:52,LallyMe,10/5/2021 14:34,BeckerM,,
17231,19,Stratford / Port Jefferson,Estuary,41.055333,-73.080833,24000,GPS-Unspecified,NAD83,NY,BROOKHAVEN  NY,0,NULL,NULL,Initial Site Name = 19; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17227,13,Black Rock Harbor Entrance,Estuary,41.058333,-73.234333,24000,GPS-Unspecified,NAD83,CT,FAIRFIELD,0,CT-W4_002,NULL,Initial Site Name = 13; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
15110,Rippowam River,Adjacent to south parking lot at school,River/Stream,41.0604,-73.5464,24000,Interpolation-Map,NAD83,CT,STAMFORD,7405,CT7405-00_01,NULL,Initial Site Number=1351.01 or alias of =//site comments:Wright Tech,9/22/2003 0:00,BeaucheneM,3/12/2010 0:00,BeaucheneM,,
17768,Byram River,at Sherwood Avenue,River/Stream,41.060895,-73.677529,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7411,NULL,102000261,; RBV site 2011,2/29/2012 11:18,BeaucheneM,11/17/2021 18:20,BeckerM,,
16146,East Branch Byram River,under  Route 15 adjacent to Riverville Road,River/Stream,41.0612,-73.6748,24000,Interpolation-Map,NAD83,CT,GREENWICH,7410,CT7410-00_01,102000254,Initial Site Number=312 or alias of =//site comments:,5/16/2007 0:00,Unknown,10/5/2021 14:34,BeckerM,,
20140,LIS Trawl 01-28,Eastern LIS - NY,Estuary,41.06203,-72.49875,0,Interpolation-Satellite,WGS84,CT,Unknown,0,NULL,NULL,2018 summer flounder/fluke sample (10/10/18) for pcb fish tissue analysis coordinates = trawl end point; Site 01-28,12/12/2018 14:41,LallyMe,11/17/2021 18:20,BeckerM,,
20805,Mianus River,Within the Mianus River Natural Park,River/Stream,41.06271,-73.57978,0,Interpolation-Digital Map Source,WGS84,CT,Greenwich,7407,NULL,NULL,Established in 2022 as a new volunteer monitoring site,12/9/2022 12:16,LallyMe,12/9/2022 12:16,LallyMe,,
19546,Noroton River,AT I-95,River/Stream,41.06349,-73.508834,0,Interpolation-Satellite,WGS84,CT,STAMFORD,7403,NULL,NULL,IFD,2/16/2017 11:07,HagstromN,2/16/2017 11:08,HagstromN,,
19495,Mianus River,Parallel to River Rd below Filtration plant dam,River/Stream,41.064169,-73.579285,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7407,7407,102000239,IFD 2018 volmon (Greenwich IWWC) hobo site,1/31/2017 11:05,HagstromN,10/5/2021 14:34,BeckerM,,
16621,East Branch Byram River,Below Pond at Boy Scout Camp,River/Stream,41.0656,-73.6733,24000,Unknown,NAD83,CT,GREENWICH,7410,CT7410-00_01,NULL,Initial Site Number=2053 or alias of =2053//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
14432,Rippowam River,downstream Bridge Street in Woodside Park,River/Stream,41.0661,-73.5484,24000,GPS-Unspecified,NAD83,CT,STAMFORD,7405,CT7405-00_01,NULL,Initial Site Number=179 or alias of =//site comments:,3/2/1999 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
19597,Rippowam River,AT STAMFORD (Upstream Bridge Street),River/Stream,41.066111,-73.54927,0,Interpolation-Satellite,WGS84,CT,STAMFORD,7405,7405,102000017,Established 2016 by USGS as NAWQA Station USGS Station 01209901,4/19/2017 11:28,LallyMe,12/21/2021 14:17,BeckerM,,
19699,Rippowam River,Behind Candelight Terrace condos (#154 Cold Spring Rd),River/Stream,41.066398,-73.55384,0,Interpolation-Satellite,WGS84,CT,STAMFORD,7405,CT7405-00_01,102000017,Established 2017 as new probmon site - CTS06621-1038,5/25/2017 15:13,LallyMe,10/5/2021 14:34,BeckerM,,
20049,Byram River,Between Fairview Country Club and Hycliff Road (Audubon property),River/Stream,41.0704,-73.6857,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7411,CT7411-00_02,102000261,Established 2017 by volunteers (GIWWA) as new RBV site and VSTeM site,4/23/2018 14:56,LallyMe,12/27/2021 17:18,BeckerM,,
17254,9,Saugatuck River Entrance,Estuary,41.070833,-73.336167,24000,GPS-Unspecified,NAD83,CT,WESTPORT,0,CT-W3_006,NULL,Initial Site Name = 09; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17720,Fivemile River,at Cudlipp Street,Estuary,41.073114,-73.447589,0,Interpolation-Satellite,WGS84,CT,DARIEN,7401,NULL,NULL,,11/17/2011 10:47,BeaucheneM,11/12/2015 10:43,Unknown,,
14356,Noroton River,downstream Middlesex Road,River/Stream,41.0753,-73.5155,24000,GPS-Unspecified,NAD83,CT,STAMFORD,7403,CT7403-00_01,NULL,Initial Site Number=NO1 or alias of =//site comments:,3/2/1999 0:00,Unknown,3/12/2010 0:00,BeaucheneM,,
18896,Converse Pond Brook,Upstream of Merritt Prkwy,River/Stream,41.075327,-73.669271,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7410,NULL,102000331,temp logger,7/22/2015 7:12,HagstromN,10/5/2021 14:34,BeckerM,,
20139,LIS Trawl 04-30,Eastern LIS - NY,Estuary,41.07608,-72.54045,0,Interpolation-Satellite,WGS84,CT,Unknown,0,NULL,NULL,2018 summer flounder/fluke sample (10/10/18) for pcb fish tissue analysis coordinates = trawl end point; site 04-30,12/12/2018 14:40,LallyMe,11/17/2021 18:20,BeckerM,,
16698,Goodwives River,Below Grannaston Lane,River/Stream,41.0761,-73.4669,24000,Unknown,NAD83,CT,DARIEN,7402,Needs,102000258,Initial Site Number=2045 or alias of =2045//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
17239,28,Branford Harbor,Estuary,41.078167,-72.8335,24000,GPS-Unspecified,NAD83,CT,BRANFORD,0,NULL,NULL,Initial Site Name = 28; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
20645,East Branch Converse Pond Brook,400 ft downstream of Porchuck Road,River/Stream,41.079014,-73.676938,0,Interpolation-Digital Map Source,WGS84,CT,Greenwich,7410,NULL,NULL,Established 2021 - new RBV station,12/30/2021 12:31,LallyMe,12/30/2021 12:31,LallyMe,,
17257,F2,Bridgeport,Estuary,41.080333,-73.165333,24000,GPS-Unspecified,NAD83,CT,STRATFORD,0,CT-W4_001,NULL,Initial Site Name = F2; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile  Nutrients  HPLC  Plankton,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
14293,Mianus River,upstream Merribrook Lane,River/Stream,41.0806,-73.5812,24000,GPS-Unspecified,NAD83,CT,STAMFORD,7407,CT7407-00_02,102000324,Initial Site Number=MR3 or alias of =//site comments:downstream end of the TMA,3/2/1999 0:00,Unknown,10/5/2021 14:34,BeckerM,,
16586,Converse Pond Brook,Parallel to Merritt Parkway west of exit 28,River/Stream,41.0819,-73.6656,24000,Unknown,NAD83,CT,GREENWICH,7410,CT7410-02_01,NULL,Initial Site Number=2094 or alias of =2094//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
17234,22,Milford Harbor,Estuary,41.082333,-73.022833,24000,GPS-Unspecified,NAD83,CT,MILFORD,0,CT-C4_005,NULL,Initial Site Name = 22; Parameters = Conductivity  Temperature  Oxygen  Salinity vertical profile,1/14/2009 0:00,LymanM,7/9/2021 11:02,LymanM,,
17310,Horseneck Brook,below Putnum lake 20' downstream of small pump? Building,River/Stream,41.0831,-73.6403,24000,Interpolation-Map,NAD83,CT,GREENWICH,7409,Needs,NULL,Initial Site Number=HN-1 or alias of =//site comments:No flow over Putnum Lake spill way  but flow from  pipe at facility,9/21/2009 0:00,GatterEvartsR,3/12/2010 0:00,BeaucheneM,,
17083,Stony Brook,Above High School Lane at Darien Methodist Church,River/Stream,41.0839,-73.4878,24000,Unknown,NAD83,CT,DARIEN,7402,Needs,102000356,Initial Site Number=2081 or alias of =2081//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
18940,Rockwood Lake Brook,DS of Taconic Road,River/Stream,41.085105,-73.623437,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7408,CT7408-02_01,NULL,water temp logger,10/21/2015 11:37,HagstromN,10/5/2021 14:37,BeckerM,,
18944,Cummings Brook,adj to Royale Rd,River/Stream,41.08594,-73.476216,0,Interpolation-Satellite,WGS84,CT,DARIEN,7402,NULL,NULL,water temp logger,10/21/2015 12:14,HagstromN,10/21/2015 12:14,HagstromN,,
18967,"Byram River  Unnamed Tributary to (Sutton's Brook"")""",900ft Southeast of Audubon Lane culdesac,River/Stream,41.086034,-73.70111,0,Interpolation-Satellite,WGS84,CT,GREENWICH,7411,NULL,102000384,Established 2015 by Greenwich IWWA as new RBV station,11/30/2015 11:57,LallyMe,10/5/2021 14:34,BeckerM,,
17308,Aquarion  DSN 101,Lagoon closest to settling tanks Lagoon discharge 1,Wetland Undifferentiated,41.0871,-73.6379,24000,Interpolation-Map,NAD83,CT,GREENWICH,7409,INTO_CT****,NULL,Initial Site Number=AQ-1 or alias of =//site comments:Putnum lake,9/21/2009 0:00,GatterEvartsR,3/12/2010 0:00,BeaucheneM,,
17309,Aquarion Putnum lake,second lagoon discharge,Wetland Undifferentiated,41.0876,-73.6377,24000,Interpolation-Map,NAD83,CT,GREENWICH,7409,Needs,NULL,Initial Site Number=AQ-2 or alias of =//site comments:AQ-2,9/21/2009 0:00,GatterEvartsR,3/12/2010 0:00,BeaucheneM,,
16662,Fivemile River,US King Highway,River/Stream,41.0878,-73.4522,24000,Unknown,NAD83,CT,NORWALK,7401,Needs,NULL,Initial Site Number=2044 or alias of =2044//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,12/21/2021 14:17,BeckerM,,
17719,Fivemile River,at Flax Hill Road and Shady brook Lane,River/Stream,41.088136,-73.450741,0,Interpolation-Satellite,WGS84,CT,NEW CANAAN,7401,NULL,NULL,earthplace monitored location,11/17/2011 10:44,BeaucheneM,11/17/2011 10:44,BeaucheneM,,
17012,Rockwood Lake outflow; downstream of Rte 15,Below Rte 15,River/Stream,41.0886,-73.6272,24000,Unknown,NAD83,CT,GREENWICH,7408,CT7408-02_01,102000393,Initial Site Number=2095 or alias of =2095//site comments:Stream Survey Site,1/12/2009 0:00,BeaucheneM,10/5/2021 14:37,BeckerM,,
