"staSeq","locationName","locationDescription","locationType","ylat","xlong","sourceMapScale","horizCollectMethod","horizRefDatum","stateCd","munName","subBasin","adbSegID","hydroID","stationsCommentTxt","createDate","createUser","lastUpdateDate","lastUpdateUser","Year"
14146,"Branford River","downstream bridge off Valley Road","River/Stream",41.3072,-72.7648,24000,"Interpolation-Map","NAD83","CT","NORTH BRANFORD",5111,"CT5111-00_02","104001553","Initial Site Number=172 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1997
14146,"Branford River","downstream bridge off Valley Road","River/Stream",41.3072,-72.7648,24000,"Interpolation-Map","NAD83","CT","NORTH BRANFORD",5111,"CT5111-00_02","104001553","Initial Site Number=172 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2007
14146,"Branford River","downstream bridge off Valley Road","River/Stream",41.3072,-72.7648,24000,"Interpolation-Map","NAD83","CT","NORTH BRANFORD",5111,"CT5111-00_02","104001553","Initial Site Number=172 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2013
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1998
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2004
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1993
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2010
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2012
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2008
14147,"Broad Brook","upstream USGS gage at Route 191","River/Stream",41.9147,-72.549,24000,"Interpolation-Map","NAD83","CT","EAST WINDSOR",4206,"CT4206-00_01","106003766","Initial Site Number=106 or alias of =11012//site comments:Metal property stake in center of riffle",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2014
14148,"Bunnell Brook","upstream 500 meters USGS gage","River/Stream",41.7846,-72.9657,24000,"Interpolation-Map","NAD83","CT","BURLINGTON",4311,"CT4311-00_01",NA,"Initial Site Number=19 or alias of =//site comments:On water company property",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2012
14148,"Bunnell Brook","upstream 500 meters USGS gage","River/Stream",41.7846,-72.9657,24000,"Interpolation-Map","NAD83","CT","BURLINGTON",4311,"CT4311-00_01",NA,"Initial Site Number=19 or alias of =//site comments:On water company property",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1990
14148,"Bunnell Brook","upstream 500 meters USGS gage","River/Stream",41.7846,-72.9657,24000,"Interpolation-Map","NAD83","CT","BURLINGTON",4311,"CT4311-00_01",NA,"Initial Site Number=19 or alias of =//site comments:On water company property",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1998
14148,"Bunnell Brook","upstream 500 meters USGS gage","River/Stream",41.7846,-72.9657,24000,"Interpolation-Map","NAD83","CT","BURLINGTON",4311,"CT4311-00_01",NA,"Initial Site Number=19 or alias of =//site comments:On water company property",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1989
14148,"Bunnell Brook","upstream 500 meters USGS gage","River/Stream",41.7846,-72.9657,24000,"Interpolation-Map","NAD83","CT","BURLINGTON",4311,"CT4311-00_01",NA,"Initial Site Number=19 or alias of =//site comments:On water company property",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2008
14150,"Byram River","downstream Comley Avenue","River/Stream",41.0276,-73.6621,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_01","102000175","Initial Site Number=59, CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1987
14150,"Byram River","downstream Comley Avenue","River/Stream",41.0276,-73.6621,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_01","102000175","Initial Site Number=59, CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1996
14150,"Byram River","downstream Comley Avenue","River/Stream",41.0276,-73.6621,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_01","102000175","Initial Site Number=59, CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2007
14150,"Byram River","downstream Comley Avenue","River/Stream",41.0276,-73.6621,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_01","102000175","Initial Site Number=59, CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2009
14150,"Byram River","downstream Comley Avenue","River/Stream",41.0276,-73.6621,24000,"GPS-Unspecified","NAD83","CT","GREENWICH",7411,"CT7411-00_01","102000175","Initial Site Number=59, CT 59-99 or alias of =11045//site comments:Park on sidewalk near stop sign on East bank",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1997
14153,"Coginchaug River","downstream Route 66","River/Stream",41.5547,-72.6737,24000,"GPS-Unspecified","NAD83","CT","MIDDLETOWN",4607,"CT4607-00_03","106002257","Initial Site Number=51 or alias of =CoR015//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1992
14153,"Coginchaug River","downstream Route 66","River/Stream",41.5547,-72.6737,24000,"GPS-Unspecified","NAD83","CT","MIDDLETOWN",4607,"CT4607-00_03","106002257","Initial Site Number=51 or alias of =CoR015//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2008
14153,"Coginchaug River","downstream Route 66","River/Stream",41.5547,-72.6737,24000,"GPS-Unspecified","NAD83","CT","MIDDLETOWN",4607,"CT4607-00_03","106002257","Initial Site Number=51 or alias of =CoR015//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1998
14153,"Coginchaug River","downstream Route 66","River/Stream",41.5547,-72.6737,24000,"GPS-Unspecified","NAD83","CT","MIDDLETOWN",4607,"CT4607-00_03","106002257","Initial Site Number=51 or alias of =CoR015//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2010
14153,"Coginchaug River","downstream Route 66","River/Stream",41.5547,-72.6737,24000,"GPS-Unspecified","NAD83","CT","MIDDLETOWN",4607,"CT4607-00_03","106002257","Initial Site Number=51 or alias of =CoR015//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2014
14153,"Coginchaug River","downstream Route 66","River/Stream",41.5547,-72.6737,24000,"GPS-Unspecified","NAD83","CT","MIDDLETOWN",4607,"CT4607-00_03","106002257","Initial Site Number=51 or alias of =CoR015//site comments:",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2012
14156,"Comstock Brook","upstream wooden footbridge in town park","River/Stream",41.1961,-73.4354,24000,"Interpolation-Map","NAD83","CT","WILTON",7301,"CT7301-00_01",NA,"Initial Site Number=192 or alias of =NW5//site comments:To access site, enter town beach and walk past swings to the wooden footbridge.  This station has dried completely in summer.",1999-03-02 00:00:00,"BeaucheneM",2010-03-12 00:00:00,"BeaucheneM",2006
14157,"Cooper Pond Brook","downstream plaza entrance bridge","River/Stream",41.2677,-73.4422,24000,"Interpolation-Map","NAD83","CT","RIDGEFIELD",7300,"CT7300-07_01","102002532","Initial Site Number=193 or alias of =//site comments:site is at shopping plaza entrance road.",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1998
14158,"Coppermine Brook","upstream West Washington Street","River/Stream",41.6777,-72.9077,24000,"GPS-Unspecified","NAD83","CT","BRISTOL",4314,"CT4314-00_01",NA,"Initial Site Number=187 or alias of =12303//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1998
14158,"Coppermine Brook","upstream West Washington Street","River/Stream",41.6777,-72.9077,24000,"GPS-Unspecified","NAD83","CT","BRISTOL",4314,"CT4314-00_01",NA,"Initial Site Number=187 or alias of =12303//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1996
14158,"Coppermine Brook","upstream West Washington Street","River/Stream",41.6777,-72.9077,24000,"GPS-Unspecified","NAD83","CT","BRISTOL",4314,"CT4314-00_01",NA,"Initial Site Number=187 or alias of =12303//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2008
14172,"Deep Brook","upstream mouth near Pootatuck River","River/Stream",41.4131,-73.2823,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6019,"CT6019-00_01","103016240","Initial Site Number=DB6 or alias of =//site comments:WPCF upgrade evaluation CVTU RBV 2010-2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2013
14172,"Deep Brook","upstream mouth near Pootatuck River","River/Stream",41.4131,-73.2823,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6019,"CT6019-00_01","103016240","Initial Site Number=DB6 or alias of =//site comments:WPCF upgrade evaluation CVTU RBV 2010-2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2006
14172,"Deep Brook","upstream mouth near Pootatuck River","River/Stream",41.4131,-73.2823,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6019,"CT6019-00_01","103016240","Initial Site Number=DB6 or alias of =//site comments:WPCF upgrade evaluation CVTU RBV 2010-2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2011
14172,"Deep Brook","upstream mouth near Pootatuck River","River/Stream",41.4131,-73.2823,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6019,"CT6019-00_01","103016240","Initial Site Number=DB6 or alias of =//site comments:WPCF upgrade evaluation CVTU RBV 2010-2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1995
14172,"Deep Brook","upstream mouth near Pootatuck River","River/Stream",41.4131,-73.2823,24000,"Interpolation-Map","NAD83","CT","NEWTOWN",6019,"CT6019-00_01","103016240","Initial Site Number=DB6 or alias of =//site comments:WPCF upgrade evaluation CVTU RBV 2010-2012",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2016
14173,"Dickinson Creek","at dirt road off Islieb Street","River/Stream",41.6642,-72.4843,24000,"Interpolation-Map","NAD83","CT","MARLBOROUGH",4708,"NOSEG",NA,"Initial Site Number=110 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1989
14174,"East Branch Eightmile River","100 meters upstream Mouth downstream Route 156","River/Stream",41.4309,-72.3375,24000,"GPS-Unspecified","NAD83","CT","LYME",4802,"CT4802-00_01","106001093","Initial Site Number=204 or alias of =26-003//site comments:Site is adjacent to site 203 Eightmile River",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1998
14174,"East Branch Eightmile River","100 meters upstream Mouth downstream Route 156","River/Stream",41.4309,-72.3375,24000,"GPS-Unspecified","NAD83","CT","LYME",4802,"CT4802-00_01","106001093","Initial Site Number=204 or alias of =26-003//site comments:Site is adjacent to site 203 Eightmile River",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2008
14174,"East Branch Eightmile River","100 meters upstream Mouth downstream Route 156","River/Stream",41.4309,-72.3375,24000,"GPS-Unspecified","NAD83","CT","LYME",4802,"CT4802-00_01","106001093","Initial Site Number=204 or alias of =26-003//site comments:Site is adjacent to site 203 Eightmile River",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2012
14174,"East Branch Eightmile River","100 meters upstream Mouth downstream Route 156","River/Stream",41.4309,-72.3375,24000,"GPS-Unspecified","NAD83","CT","LYME",4802,"CT4802-00_01","106001093","Initial Site Number=204 or alias of =26-003//site comments:Site is adjacent to site 203 Eightmile River",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2014
14175,"East Branch Naugatuck River","adjacent to Newfield Road at old RR tressel","River/Stream",41.8203,-73.1232,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_02",NA,"Initial Site Number=11 or alias of =NR3//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1995
14175,"East Branch Naugatuck River","adjacent to Newfield Road at old RR tressel","River/Stream",41.8203,-73.1232,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_02",NA,"Initial Site Number=11 or alias of =NR3//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1992
14175,"East Branch Naugatuck River","adjacent to Newfield Road at old RR tressel","River/Stream",41.8203,-73.1232,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_02",NA,"Initial Site Number=11 or alias of =NR3//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1991
14176,"East Branch Naugatuck River","upstream Route 4","River/Stream",41.8122,-73.1221,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_02",NA,"Initial Site Number=NR3A or alias of =EBNR2, 1431.01//site comments:site moved in 2008 to be at bottom of segment 2 versus top of segment 1",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1990
14176,"East Branch Naugatuck River","upstream Route 4","River/Stream",41.8122,-73.1221,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_02",NA,"Initial Site Number=NR3A or alias of =EBNR2, 1431.01//site comments:site moved in 2008 to be at bottom of segment 2 versus top of segment 1",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2004
14176,"East Branch Naugatuck River","upstream Route 4","River/Stream",41.8122,-73.1221,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_02",NA,"Initial Site Number=NR3A or alias of =EBNR2, 1431.01//site comments:site moved in 2008 to be at bottom of segment 2 versus top of segment 1",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",2006
14177,"East Branch Naugatuck River","downstream Main Street","River/Stream",41.8107,-73.1216,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01",NA,"Initial Site Number=NR3B or alias of =EBNR3//site comments:",1999-03-02 00:00:00,"Unknown",2021-12-27 17:18:19,"BeckerM",1990
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1991
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1990
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2011
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",1996
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2010
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2016
14179,"East Branch Naugatuck River","downstream Franklin Drive","River/Stream",41.797345,-73.115842,24000,"GPS-Unspecified","NAD83","CT","TORRINGTON",6905,"CT6905-00_01","103006978","Initial Site Number=NR4 or alias of =11233,NR4, NR-EB, EBNR4//site comments: Station also used for stormwater temperature/conductivity project, 30 M ds AWQ 19061",1999-03-02 00:00:00,"Unknown",2021-10-05 14:34:45,"BeckerM",2006
14181,"East Aspetuck River","upstream Waramug treatment plant off Flirtation Ave","River/Stream",41.6823,-73.3539,24000,"Interpolation-Map","NAD83","CT","WASHINGTON",6502,"CT6502-00_03",NA,"Initial Site Number=111 or alias of =//site comments:",1999-03-02 00:00:00,"Unknown",2010-03-12 00:00:00,"BeaucheneM",1993
